index,Date,Country,Status,AQI,timeStamp,countryCode
189,2022-07-22,Germany,Moderate,61.66666666666666,1658473200.0,47
190,2022-07-22,Ghana,Unhealthy for Sensitive Groups,103.0,1658473200.0,48
191,2022-07-22,Gibraltar,Good,42.66666666666666,1658473200.0,49
192,2022-07-22,Greece,Moderate,50.333333333333336,1658473200.0,50
193,2022-07-22,Grenada,Moderate,60.0,1658473200.0,51
194,2022-07-22,Guadeloupe,Good,25.666666666666668,1658473200.0,52
195,2022-07-22,Guam,Good,1.3333333333333333,1658473200.0,53
196,2022-07-22,Guatemala,Good,36.66666666666666,1658473200.0,54
197,2022-07-22,Honduras,Good,19.0,1658473200.0,55
198,2022-07-22,Hong Kong,Good,38.66666666666666,1658473200.0,56
199,2022-07-22,Hungary,Moderate,54.66666666666666,1658473200.0,57
200,2022-07-22,Iceland,Good,12.333333333333334,1658473200.0,58
201,2022-07-22,India,Unhealthy,179.66666666666666,1658473200.0,59
202,2022-07-22,Indonesia,Moderate,93.0,1658473200.0,60
203,2022-07-22,Iran,Unhealthy,158.0,1658473200.0,61
204,2022-07-22,Iraq,Unhealthy,191.0,1658473200.0,62
205,2022-07-22,Ireland,Good,20.666666666666668,1658473200.0,63
206,2022-07-22,Israel,Moderate,98.33333333333331,1658473200.0,64
207,2022-07-22,Italy,Unhealthy for Sensitive Groups,107.66666666666669,1658473200.0,65
208,2022-07-22,Ivory Coast,Good,47.0,1658473200.0,66
209,2022-07-22,Japan,Moderate,76.66666666666667,1658473200.0,67
210,2022-07-22,Jersey,Good,29.666666666666668,1658473200.0,68
211,2022-07-22,Jordan,Good,22.0,1658473200.0,69
212,2022-07-22,Kazakhstan,Moderate,73.0,1658473200.0,70
213,2022-07-22,Kenya,Moderate,51.0,1658473200.0,71
214,2022-07-22,Kosovo,Good,49.333333333333336,1658473200.0,72
215,2022-07-22,Kuwait,Unhealthy,165.33333333333334,1658473200.0,73
216,2022-07-22,Kyrgyzstan,Good,40.333333333333336,1658473200.0,74
217,2022-07-22,Laos,Good,40.66666666666666,1658473200.0,75
218,2022-07-22,Latvia,Good,37.333333333333336,1658473200.0,76
219,2022-07-22,Lebanon,Moderate,76.0,1658473200.0,77
220,2022-07-22,Liberia,Good,37.0,1658473200.0,78
221,2022-07-22,Liechtenstein,Good,28.666666666666668,1658473200.0,79
222,2022-07-22,Lithuania,Good,45.333333333333336,1658473200.0,80
223,2022-07-22,Luxembourg,Good,48.0,1658473200.0,81
224,2022-07-22,Macao,Good,45.0,1658473200.0,82
225,2022-07-22,Macedonia,Moderate,58.66666666666666,1658473200.0,83
226,2022-07-22,Madagascar,Good,32.333333333333336,1658473200.0,84
227,2022-07-22,Malaysia,Moderate,68.66666666666667,1658473200.0,85
228,2022-07-22,Malta,Moderate,59.66666666666666,1658473200.0,86
229,2022-07-22,Martinique,Moderate,51.0,1658473200.0,87
230,2022-07-22,Mexico,Moderate,99.66666666666669,1658473200.0,88
