index,Date,Country,Status,AQI
331,2022-07-23,Ghana,Moderate,96.5
332,2022-07-23,Gibraltar,Moderate,50.5
333,2022-07-23,Greece,Moderate,50.5
334,2022-07-23,Grenada,Good,19.0
335,2022-07-23,Guadeloupe,Good,11.5
336,2022-07-23,Guam,Good,1.0
337,2022-07-23,Guatemala,Moderate,53.5
338,2022-07-23,Honduras,Good,8.5
339,2022-07-23,Hong Kong,Moderate,50.5
340,2022-07-23,Hungary,Moderate,71.0
341,2022-07-23,Iceland,Good,10.0
342,2022-07-23,India,Unhealthy for Sensitive Groups,143.5
343,2022-07-23,Indonesia,Moderate,93.0
344,2022-07-23,Iran,Unhealthy,156.0
345,2022-07-23,Iraq,Unhealthy for Sensitive Groups,145.5
346,2022-07-23,Ireland,Good,23.0
347,2022-07-23,Israel,Unhealthy for Sensitive Groups,100.0
348,2022-07-23,Italy,Unhealthy for Sensitive Groups,114.0
349,2022-07-23,Ivory Coast,Moderate,60.0
350,2022-07-23,Japan,Moderate,68.0
351,2022-07-23,Jersey,Good,9.0
352,2022-07-23,Jordan,Good,25.0
353,2022-07-23,Kazakhstan,Moderate,63.5
354,2022-07-23,Kenya,Unhealthy for Sensitive Groups,134.5
355,2022-07-23,Kosovo,Moderate,52.5
356,2022-07-23,Kuwait,Moderate,94.5
357,2022-07-23,Kyrgyzstan,Good,43.5
358,2022-07-23,Laos,Moderate,63.0
359,2022-07-23,Latvia,Good,19.0
360,2022-07-23,Lebanon,Moderate,76.0
361,2022-07-23,Liberia,Good,36.5
362,2022-07-23,Liechtenstein,Good,19.5
363,2022-07-23,Lithuania,Good,49.5
364,2022-07-23,Luxembourg,Good,43.5
365,2022-07-23,Macao,Good,48.5
366,2022-07-23,Macedonia,Moderate,61.0
367,2022-07-23,Madagascar,Good,29.5
368,2022-07-23,Malaysia,Moderate,60.5
369,2022-07-23,Malta,Good,44.5
370,2022-07-23,Martinique,Good,32.0
371,2022-07-23,Mexico,Moderate,84.5
372,2022-07-23,Moldova,Good,9.0
373,2022-07-23,Monaco,Good,39.0
374,2022-07-23,Mongolia,Good,39.5
375,2022-07-23,Montenegro,Moderate,52.0
376,2022-07-23,Myanmar,Good,29.5
377,2022-07-23,Nepal,Good,25.5
378,2022-07-23,Netherlands,Moderate,53.5
379,2022-07-23,New Caledonia,Good,13.0
380,2022-07-23,New Zealand,Moderate,78.5
381,2022-07-23,Nigeria,Unhealthy for Sensitive Groups,105.0
382,2022-07-23,Norway,Good,21.5
383,2022-07-23,Pakistan,Moderate,91.0
384,2022-07-23,Palestinian Territory,Moderate,58.0
385,2022-07-23,Peru,Unhealthy for Sensitive Groups,129.0
386,2022-07-23,Philippines,Moderate,83.0
387,2022-07-23,Poland,Moderate,70.5
388,2022-07-23,Portugal,Good,25.5
389,2022-07-23,Puerto Rico,Good,7.5
390,2022-07-23,Qatar,Unhealthy,183.0
391,2022-07-23,Reunion,Good,23.0
392,2022-07-23,Romania,Moderate,64.0
393,2022-07-23,Russia,Unhealthy for Sensitive Groups,107.5
394,2022-07-23,San Marino,Moderate,59.0
395,2022-07-23,Senegal,Good,33.0
396,2022-07-23,Serbia,Moderate,84.0
397,2022-07-23,Singapore,Moderate,55.0
398,2022-07-23,Slovakia,Moderate,65.0
399,2022-07-23,Slovenia,Moderate,74.5
400,2022-07-23,South Africa,Moderate,83.0
401,2022-07-23,South Korea,Moderate,83.0
402,2022-07-23,Spain,Unhealthy for Sensitive Groups,130.5
403,2022-07-23,Sri Lanka,Moderate,50.0
404,2022-07-23,Sudan,Moderate,83.0
405,2022-07-23,Sweden,Good,13.5
406,2022-07-23,Switzerland,Good,40.0
407,2022-07-23,Taiwan,Moderate,57.0
408,2022-07-23,Tajikistan,Moderate,57.5
409,2022-07-23,Thailand,Moderate,95.5
410,2022-07-23,Togo,Moderate,85.0
411,2022-07-23,Trinidad and Tobago,Good,38.5
412,2022-07-23,Turkey,Moderate,67.5
413,2022-07-23,Turkmenistan,Moderate,69.5
414,2022-07-23,Uganda,Unhealthy for Sensitive Groups,143.0
415,2022-07-23,Ukraine,Good,46.0
416,2022-07-23,United Arab Emirates,Moderate,89.5
417,2022-07-23,United Kingdom of Great Britain and Northern Ireland,Good,41.5
418,2022-07-23,United States of America,Moderate,86.5
419,2022-07-23,Uzbekistan,Moderate,77.0
420,2022-07-23,Vatican,Moderate,68.0
421,2022-07-23,Venezuela,Good,20.0
422,2022-07-23,Vietnam,Unhealthy for Sensitive Groups,103.0
423,2022-07-23,Zambia,Moderate,80.0
424,2022-07-24,Albania,Good,18.0
425,2022-07-24,Algeria,Moderate,65.0
426,2022-07-24,Andorra,Good,41.0
427,2022-07-24,Angola,Unhealthy for Sensitive Groups,107.0
428,2022-07-24,Argentina,Good,42.0
429,2022-07-24,Armenia,Good,43.0
430,2022-07-24,Australia,Moderate,60.0
431,2022-07-24,Austria,Good,43.0
432,2022-07-24,Azerbaijan,Good,11.0
433,2022-07-24,Bahrain,Moderate,85.0
434,2022-07-24,Bangladesh,Unhealthy for Sensitive Groups,141.0
435,2022-07-24,Belarus,Good,28.0
436,2022-07-24,Belgium,Good,49.0
437,2022-07-24,Belize,Good,18.0
438,2022-07-24,Bermuda,Good,13.0
439,2022-07-24,Bolivia,Moderate,54.0
440,2022-07-24,Bosnia and Herzegovina,Moderate,76.0
441,2022-07-24,Brazil,Moderate,95.0
442,2022-07-24,Brunei,Good,10.0
443,2022-07-24,Bulgaria,Good,35.0
444,2022-07-24,Burkina Faso,Moderate,88.0
445,2022-07-24,Cambodia,Good,15.0
446,2022-07-24,Canada,Moderate,71.0
447,2022-07-24,Cape Verde,Good,24.0
448,2022-07-24,Cayman Islands,Good,8.0
449,2022-07-24,Central African Republic,Moderate,74.0
450,2022-07-24,Chad,Moderate,53.0
451,2022-07-24,Chile,Unhealthy for Sensitive Groups,142.0
452,2022-07-24,China,Unhealthy,155.0
453,2022-07-24,Colombia,Moderate,68.0
454,2022-07-24,Costa Rica,Good,24.0
455,2022-07-24,Croatia,Good,42.0
456,2022-07-24,Cyprus,Good,31.0
457,2022-07-24,Czech Republic,Moderate,71.0
458,2022-07-24,Denmark,Good,17.0
459,2022-07-24,Dominican Republic,Good,22.0
460,2022-07-24,Ecuador,Good,32.0
461,2022-07-24,Egypt,Moderate,86.0
462,2022-07-24,El Salvador,Moderate,70.0
463,2022-07-24,Estonia,Good,15.0
464,2022-07-24,Ethiopia,Moderate,90.0
465,2022-07-24,Finland,Good,19.0
466,2022-07-24,France,Moderate,58.0
467,2022-07-24,French Guiana,Good,16.0
468,2022-07-24,Gabon,Unhealthy for Sensitive Groups,100.0
469,2022-07-24,Gambia,Good,40.0
470,2022-07-24,Georgia,Moderate,80.0
471,2022-07-24,Germany,Moderate,69.0
472,2022-07-24,Ghana,Moderate,85.0
473,2022-07-24,Gibraltar,Good,20.0
474,2022-07-24,Greece,Moderate,64.0
475,2022-07-24,Grenada,Good,28.0
476,2022-07-24,Guadeloupe,Good,10.0
477,2022-07-24,Guam,Good,1.0
478,2022-07-24,Guatemala,Good,29.0
479,2022-07-24,Honduras,Good,17.0
480,2022-07-24,Hong Kong,Moderate,60.0
481,2022-07-24,Hungary,Moderate,50.0
482,2022-07-24,Iceland,Good,7.0
483,2022-07-24,India,Unhealthy for Sensitive Groups,147.0
484,2022-07-24,Indonesia,Moderate,93.0
485,2022-07-24,Iran,Unhealthy,172.0
486,2022-07-24,Iraq,Very Unhealthy,254.0
487,2022-07-24,Ireland,Good,26.0
488,2022-07-24,Israel,Moderate,83.0
489,2022-07-24,Italy,Moderate,97.0
490,2022-07-24,Ivory Coast,Moderate,50.0
491,2022-07-24,Japan,Moderate,97.0
492,2022-07-24,Jersey,Good,29.0
493,2022-07-24,Jordan,Good,26.0
494,2022-07-24,Kazakhstan,Moderate,68.0
495,2022-07-24,Kenya,Good,38.0
496,2022-07-24,Kosovo,Moderate,59.0
497,2022-07-24,Kuwait,Unhealthy for Sensitive Groups,110.0
498,2022-07-24,Kyrgyzstan,Good,47.0
499,2022-07-24,Laos,Moderate,53.0
500,2022-07-24,Latvia,Good,12.0
501,2022-07-24,Lebanon,Moderate,76.0
502,2022-07-24,Liberia,Moderate,51.0
503,2022-07-24,Liechtenstein,Good,27.0
504,2022-07-24,Lithuania,Good,23.0
505,2022-07-24,Luxembourg,Good,28.0
506,2022-07-24,Macao,Moderate,57.0
507,2022-07-24,Macedonia,Moderate,77.0
508,2022-07-24,Madagascar,Moderate,70.0
509,2022-07-24,Malaysia,Moderate,59.0
510,2022-07-24,Malta,Moderate,52.0
511,2022-07-24,Martinique,Good,46.0
512,2022-07-24,Mexico,Moderate,82.0
513,2022-07-24,Moldova,Good,15.0
514,2022-07-24,Monaco,Good,44.0
515,2022-07-24,Mongolia,Moderate,51.0
516,2022-07-24,Montenegro,Moderate,54.0
517,2022-07-24,Myanmar,Good,45.0
518,2022-07-24,Nepal,Good,35.0
519,2022-07-24,Netherlands,Good,48.0
520,2022-07-24,New Caledonia,Good,25.0
521,2022-07-24,New Zealand,Good,31.0
522,2022-07-24,Nigeria,Unhealthy for Sensitive Groups,105.0
523,2022-07-24,Norway,Good,35.0
524,2022-07-24,Pakistan,Moderate,91.0
525,2022-07-24,Palestinian Territory,Moderate,66.0
526,2022-07-24,Peru,Moderate,85.0
527,2022-07-24,Philippines,Moderate,83.0
528,2022-07-24,Poland,Good,47.0
529,2022-07-24,Portugal,Good,23.0
530,2022-07-24,Puerto Rico,Good,18.0
531,2022-07-24,Qatar,Unhealthy,183.0
532,2022-07-24,Reunion,Good,16.0
533,2022-07-24,Romania,Moderate,67.0
534,2022-07-24,Russia,Moderate,85.0
535,2022-07-24,San Marino,Moderate,76.0
536,2022-07-24,Senegal,Good,33.0
537,2022-07-24,Serbia,Moderate,60.0
538,2022-07-24,Singapore,Good,32.0
539,2022-07-24,Slovakia,Moderate,56.0
540,2022-07-24,Slovenia,Moderate,53.0
541,2022-07-24,South Africa,Moderate,83.0
542,2022-07-24,South Korea,Moderate,74.0
543,2022-07-24,Spain,Unhealthy for Sensitive Groups,123.0
544,2022-07-24,Sri Lanka,Good,48.0
545,2022-07-24,Sudan,Moderate,53.0
546,2022-07-24,Sweden,Good,22.0
547,2022-07-24,Switzerland,Good,43.0
548,2022-07-24,Taiwan,Moderate,60.0
549,2022-07-24,Tajikistan,Moderate,64.0
550,2022-07-24,Thailand,Moderate,91.0
551,2022-07-24,Togo,Moderate,95.0
